,id
0,bitcoin
1,dogecoin
2,monero
3,litecoin
4,zcash
5,tron
6,neo
7,ripple
8,stellar
9,chainlink
10,steem
11,steem-dollars
12,dash
13,verge
14,the-graph
15,hiveterminal
16,bytom
17,storj
18,bitshares
19,compound-yearn-finance
20,peercoin
21,aelf
22,mina-protocol
23,aeternity
24,dragonchain
25,vechain
26,skycoin
27,augur
28,gridcoin-research
29,aragon
30,ark
31,ethereum
32,electroneum
33,tornado-cash
34,platon-network
35,eos
36,coin98
37,solana
38,matic-network
39,cardano
40,terra-luna
41,mirror-protocol
42,aave
43,avalanche-2
44,ftx-token
45,arweave
46,polkadot
47,fantom
48,thorchain
